Parameter
ImageNumber
ObjectNumber
CellObjects_Number_Object_Number
CellObjects_AreaShape_BoundingBoxMaximum_X
CellObjects_AreaShape_BoundingBoxMaximum_Y
CellObjects_AreaShape_BoundingBoxMinimum_X
CellObjects_AreaShape_BoundingBoxMinimum_Y
CellObjects_AreaShape_Center_X
CellObjects_AreaShape_Center_Y
CellObjects_Location_Center_X
CellObjects_Location_Center_Y
CellObjects_Location_Center_Z
CellObjects_Mean_ASCspecs_AreaShape_BoundingBoxMaximum_X
CellObjects_Mean_ASCspecs_AreaShape_BoundingBoxMaximum_Y
CellObjects_Mean_ASCspecs_AreaShape_BoundingBoxMinimum_X
CellObjects_Mean_ASCspecs_AreaShape_BoundingBoxMinimum_Y
CellObjects_Mean_ASCspecs_AreaShape_Center_X
CellObjects_Mean_ASCspecs_AreaShape_Center_Y
CellObjects_Mean_ASCspecs_Location_CenterMassIntensity_X_HEGray
CellObjects_Mean_ASCspecs_Location_CenterMassIntensity_Y_HEGray
CellObjects_Mean_ASCspecs_Location_CenterMassIntensity_Z_HEGray
CellObjects_Mean_ASCspecs_Location_Center_X
CellObjects_Mean_ASCspecs_Location_Center_Y
CellObjects_Mean_ASCspecs_Location_Center_Z
CellObjects_Mean_ASCspecs_Location_MaxIntensity_X_HEGray
CellObjects_Mean_ASCspecs_Location_MaxIntensity_Y_HEGray
CellObjects_Mean_ASCspecs_Location_MaxIntensity_Z_HEGray
CellObjects_Mean_Nucelolos_AreaShape_BoundingBoxMaximum_X
CellObjects_Mean_Nucelolos_AreaShape_BoundingBoxMaximum_Y
CellObjects_Mean_Nucelolos_AreaShape_BoundingBoxMinimum_X
CellObjects_Mean_Nucelolos_AreaShape_BoundingBoxMinimum_Y
CellObjects_Mean_Nucelolos_AreaShape_Center_X
CellObjects_Mean_Nucelolos_AreaShape_Center_Y
CellObjects_Mean_Nucelolos_Location_CenterMassIntensity_X_HEGray
CellObjects_Mean_Nucelolos_Location_CenterMassIntensity_Y_HEGray
CellObjects_Mean_Nucelolos_Location_CenterMassIntensity_Z_HEGray
CellObjects_Mean_Nucelolos_Location_Center_X
CellObjects_Mean_Nucelolos_Location_Center_Y
CellObjects_Mean_Nucelolos_Location_Center_Z
CellObjects_Mean_Nucelolos_Location_MaxIntensity_X_HEGray
CellObjects_Mean_Nucelolos_Location_MaxIntensity_Y_HEGray
CellObjects_Mean_Nucelolos_Location_MaxIntensity_Z_HEGray
Cytoplasm_AreaShape_BoundingBoxMaximum_X
Cytoplasm_AreaShape_BoundingBoxMaximum_Y
Cytoplasm_AreaShape_BoundingBoxMinimum_X
Cytoplasm_AreaShape_BoundingBoxMinimum_Y
Cytoplasm_AreaShape_Center_X
Cytoplasm_AreaShape_Center_Y
Cytoplasm_Location_CenterMassIntensity_X_HEGray
Cytoplasm_Location_CenterMassIntensity_Y_HEGray
Cytoplasm_Location_CenterMassIntensity_Z_HEGray
Cytoplasm_Location_Center_X
Cytoplasm_Location_Center_Y
Cytoplasm_Location_MaxIntensity_X_HEGray
Cytoplasm_Location_MaxIntensity_Y_HEGray
Cytoplasm_Location_MaxIntensity_Z_HEGray
NucObjects_AreaShape_BoundingBoxMaximum_X
NucObjects_AreaShape_BoundingBoxMaximum_Y
NucObjects_AreaShape_BoundingBoxMinimum_X
NucObjects_AreaShape_BoundingBoxMinimum_Y
NucObjects_AreaShape_Center_X
NucObjects_AreaShape_Center_Y
NucObjects_Location_CenterMassIntensity_X_HEGray
NucObjects_Location_CenterMassIntensity_Y_HEGray
NucObjects_Location_CenterMassIntensity_Z_HEGray
NucObjects_Location_Center_X
NucObjects_Location_Center_Y
NucObjects_Location_Center_Z
NucObjects_Location_MaxIntensity_X_HEGray
NucObjects_Location_MaxIntensity_Y_HEGray
NucObjects_Location_MaxIntensity_Z_HEGray
