ImageNumber
ObjectNumber
CellObjects_Number_Object_Number
CellObjects_AreaShape_Area
CellObjects_AreaShape_BoundingBoxArea
CellObjects_AreaShape_BoundingBoxMaximum_X
CellObjects_AreaShape_BoundingBoxMaximum_Y
CellObjects_AreaShape_BoundingBoxMinimum_X
CellObjects_AreaShape_BoundingBoxMinimum_Y
CellObjects_AreaShape_Center_X
CellObjects_AreaShape_Center_Y
CellObjects_AreaShape_Compactness
CellObjects_AreaShape_ConvexArea
CellObjects_AreaShape_Eccentricity
CellObjects_AreaShape_EquivalentDiameter
CellObjects_AreaShape_EulerNumber
CellObjects_AreaShape_Extent
CellObjects_AreaShape_FormFactor
CellObjects_AreaShape_MajorAxisLength
CellObjects_AreaShape_MaxFeretDiameter
CellObjects_AreaShape_MaximumRadius
CellObjects_AreaShape_MeanRadius
CellObjects_AreaShape_MedianRadius
CellObjects_AreaShape_MinFeretDiameter
CellObjects_AreaShape_MinorAxisLength
CellObjects_AreaShape_Orientation
CellObjects_AreaShape_Perimeter
CellObjects_AreaShape_Solidity
CellObjects_Children_ASCspecs_Count
CellObjects_Children_Cytoplasm_Count
CellObjects_Children_NucObjects_Count
CellObjects_Children_Nucelolos_Count
CellObjects_Location_Center_X
CellObjects_Location_Center_Y
CellObjects_Location_Center_Z
CellObjects_Mean_ASCspecs_AreaShape_Area
CellObjects_Mean_ASCspecs_AreaShape_BoundingBoxArea
CellObjects_Mean_ASCspecs_AreaShape_BoundingBoxMaximum_X
CellObjects_Mean_ASCspecs_AreaShape_BoundingBoxMaximum_Y
CellObjects_Mean_ASCspecs_AreaShape_BoundingBoxMinimum_X
CellObjects_Mean_ASCspecs_AreaShape_BoundingBoxMinimum_Y
CellObjects_Mean_ASCspecs_AreaShape_Center_X
CellObjects_Mean_ASCspecs_AreaShape_Center_Y
CellObjects_Mean_ASCspecs_AreaShape_Compactness
CellObjects_Mean_ASCspecs_AreaShape_ConvexArea
CellObjects_Mean_ASCspecs_AreaShape_Eccentricity
CellObjects_Mean_ASCspecs_AreaShape_EquivalentDiameter
CellObjects_Mean_ASCspecs_AreaShape_EulerNumber
CellObjects_Mean_ASCspecs_AreaShape_Extent
CellObjects_Mean_ASCspecs_AreaShape_FormFactor
CellObjects_Mean_ASCspecs_AreaShape_MajorAxisLength
CellObjects_Mean_ASCspecs_AreaShape_MaxFeretDiameter
CellObjects_Mean_ASCspecs_AreaShape_MaximumRadius
CellObjects_Mean_ASCspecs_AreaShape_MeanRadius
CellObjects_Mean_ASCspecs_AreaShape_MedianRadius
CellObjects_Mean_ASCspecs_AreaShape_MinFeretDiameter
CellObjects_Mean_ASCspecs_AreaShape_MinorAxisLength
CellObjects_Mean_ASCspecs_AreaShape_Orientation
CellObjects_Mean_ASCspecs_AreaShape_Perimeter
CellObjects_Mean_ASCspecs_AreaShape_Solidity
CellObjects_Mean_ASCspecs_Classify_Cromatina
CellObjects_Mean_ASCspecs_Classify_Nucleolo
CellObjects_Mean_ASCspecs_Distance_Centroid_CellObjects
CellObjects_Mean_ASCspecs_Granularity_10_HEGray
CellObjects_Mean_ASCspecs_Granularity_11_HEGray
CellObjects_Mean_ASCspecs_Granularity_12_HEGray
CellObjects_Mean_ASCspecs_Granularity_13_HEGray
CellObjects_Mean_ASCspecs_Granularity_14_HEGray
CellObjects_Mean_ASCspecs_Granularity_15_HEGray
CellObjects_Mean_ASCspecs_Granularity_16_HEGray
CellObjects_Mean_ASCspecs_Granularity_1_HEGray
CellObjects_Mean_ASCspecs_Granularity_2_HEGray
CellObjects_Mean_ASCspecs_Granularity_3_HEGray
