Parameter
NucObjects-Granularity-2-HEGray
Cytoplasm-Granularity-11-HEGray
Cytoplasm-Granularity-15-HEGray
CellObjects-Mean-ASCspecs-Granularity-6-HEGray
Cytoplasm-Granularity-12-HEGray
Cytoplasm-Granularity-16-HEGray
CellObjects-Mean-Nucelolos-Texture-DifferenceVrnc-HEGry-3-01-256
CellObjects-Mean-Nucelolos-Texture-DifferenceVrnc-HEGry-3-03-256
CellObjects-Mean-ASCspecs-Granularity-3-HEGray
NucObjects-Granularity-8-HEGray
Cytoplasm-Granularity-13-HEGray
Cytoplasm-Granularity-14-HEGray
CellObjects-Mean-Nucelolos-Texture-DifferenceVrnc-HEGry-3-00-256
CellObjects-Mean-Nucelolos-Texture-DifferenceVrnc-HEGry-3-02-256
CellObjects-Mean-Nucelolos-Granularity-1-HEGray
CellObjects-Mean-Nucelolos-Texture-SumAverage-HEGray-3-00-256
CellObjects-Mean-Nucelolos-Texture-SumAverage-HEGray-3-02-256
CellObjects-Mean-Nucelolos-Texture-SumAverage-HEGray-3-01-256
CellObjects-Mean-Nucelolos-Texture-SumAverage-HEGray-3-03-256
